,Unnamed: 0,Lambert-X,Lambert-Y,Zone,Coord System,Coord Source,Field ID,Org ID,Area USDW Value,API Num,Serial Num,Well Name,Well Num,Well Status,Class,Class Type,USDW Value,Source Area USDW Value,Measured Depth,Upper Perf,Lower Perf,Well Serial Num,Latitude,Longitude,Leak Risk
122341,85472,1542100,799310,N,1,3,2152,5196,,17017252630000,183238,GREEN,001,28.0,,,0.0,,1150.0,1114,1116,183238,32.855460007259104,-93.9911565404129,
86094,85478,1568610,742680,N,1,3,2152,3100,,17017252700000,183248,GISH,001,23.0,,,0.0,,900.0,0,0,183248,32.7008087765877,-93.90246107627279,
121234,85482,1526200,740000,N,1,1,2152,1994,,17017252660000,183255,SL 173,016,34.0,,,0.0,,2600.0,2264,2270,183255,32.691861158566105,-94.04017981751569,
121235,85482,1526200,740000,N,1,1,2152,1994,,17017252660000,183255,SL 173,016,34.0,,,0.0,,2600.0,2264,2270,183255,32.691861158566105,-94.04017981751569,
96748,85521,1553500,734190,N,1,3,2152,5126,,17017252730000,183309,J S NOEL,002,33.0,,,0.0,,905.0,790,798,183309,32.6769299868503,-93.9512031057278,
113713,85522,1540200,758400,N,1,3,2152,B168,,17017252740000,183310,RUDERSDORF,003,33.0,,,0.0,,2407.0,2280,2284,183310,32.7429655245551,-93.9955050313925,
117681,85525,1550120,801080,N,1,3,2152,0492,,17017252760000,183313,CHILES,033,33.0,,,0.0,,1116.0,1063,1064,183313,32.860624579581106,-93.9651233313422,
120140,85540,1546500,800320,N,1,3,2152,4661,,17017252810000,183334,PARKER A,025,33.0,,,0.0,,1135.0,1103,1107,183334,32.858401065824,-93.9768760730809,
120032,85542,1546500,799900,N,1,3,2152,4661,,17017252830000,183336,PARKER A,027,33.0,,,0.0,,1135.0,1102,1106,183336,32.8572469134626,-93.9768574442964,
54697,85550,2179600,712000,N,1,3,6824,0947,,17067217180000,183347,HARRELL SU877;CITIES SERVICE,006,23.0,,,0.0,,2376.0,2257,2259,183347,32.6228200304218,-91.91683828285771,
54698,85550,2179600,712000,N,1,3,6824,0947,,17067217180000,183347,HARRELL SU877;CITIES SERVICE,006,23.0,,,0.0,,2376.0,2257,2259,183347,32.6228200304218,-91.91683828285771,
56495,85557,2059880,421980,N,1,3,9031,C428,,17059224480000,183363,URANIA I KMF,001,18.0,,,615.0,,1610.0,1567,1571,183363,31.8267890815964,-92.30734356275758,
18223,85580,2053123,787115,N,1,5,6824,L096,,17111239070000,183408,S D & S T KENNEDY,001,23.0,,,0.0,,2316.0,2072,2089,183408,32.8304814918234,-92.3272256743132,
42352,85585,2037020,441390,N,1,3,3080,T040,,17127212810000,183414,TREMONT TB 2 LEX,003,33.0,,,0.0,,1510.0,1461,1464,183414,31.880238623526502,-92.38088163462429,
42473,85587,2036810,441050,N,1,3,3080,T040,,17127212830000,183416,TREMONT TB 2 LEX,005,33.0,,,1183.0,,1510.0,1444,1447,183416,31.879304583741497,-92.3815593858898,
60136,85601,1708620,831820,N,1,3,7922,5517,,17119204930000,183435,PAUL SLACK,001,20.0,,,0.0,,3260.0,3113,3116,183435,32.94995292846,-93.4499051553748,
60238,85602,1709480,833190,N,1,3,7922,5517,,17119204940000,183436,PAUL SLACK,002,28.0,,,0.0,,3250.0,3096,3097,183436,32.9537384100037,-93.4471411484475,
125298,85603,1642060,350150,N,1,3,9971,0881,,17085211490000,183437,JERRY MALMAY A,003,23.0,,,0.0,,2104.0,2082,2104,183437,31.6242472006986,-93.6501854891723,
54021,85607,2177660,714810,N,1,3,6824,0947,,17073219550000,183445,HARRELL SU872;CITIES SERVICE,007,23.0,,,0.0,,2450.0,0,0,183445,32.6305718009415,-91.9230903498288,
100022,85616,1713220,336160,N,1,3,3928,N039,,17085211500000,183466,C E SMITH,002,23.0,,,1220.0,,2780.0,2680,2780,183466,31.5876552463407,-93.4211842298561,
87309,85619,1581650,788350,N,1,3,2152,C426,,17017253130000,183474,E K SMITH,123,28.0,,,0.0,,2420.0,2293,2295,183474,32.8267725729243,-93.8619419251938,
60508,85620,1708050,832410,N,1,3,7922,0399,,17119204980000,183475,PAUL D SLACK,002,20.0,,,1140.0,,3050.0,2714,2716,183475,32.9515605003592,-93.4517798506302,
60509,85620,1708050,832410,N,1,3,7922,0399,,17119204980000,183475,PAUL D SLACK,002,20.0,,,1140.0,,3050.0,2714,2716,183475,32.9515605003592,-93.4517798506302,
121246,85623,1525900,738750,N,1,1,2152,1994,,17017253110000,183480,SL 173,017,34.0,,,0.0,,2350.0,2252,2260,183480,32.6884142629122,-94.04109706934429,
121247,85623,1525900,738750,N,1,1,2152,1994,,17017253110000,183480,SL 173,017,34.0,,,0.0,,2350.0,2252,2260,183480,32.6884142629122,-94.04109706934429,
58402,85628,1708750,827220,N,1,3,7922,2117,,17119204960000,183492,W A SLACK ET AL,002,28.0,,,0.0,,,0,0,183492,32.937315155415895,-93.4493501549674,
94490,85634,1555880,735720,N,1,3,2152,K029,,17017253140000,183501,CADDO PARISH POLICE JURY,001,23.0,,,0.0,,1000.0,773,780,183501,32.681222063564604,-93.9435356900448,
42834,85682,2037800,440850,N,1,3,3080,T040,,17127212860000,183594,TREMONT TB 2 LEX,006,33.0,,,0.0,,1512.0,1444,1447,183594,31.8787517547438,-92.37837062189942,
116815,85690,1551350,801210,N,1,3,2152,2291,,17017237480000,183609,CHARLES CALDWELL,006,33.0,,,0.0,,1089.0,1074,1075,183609,32.861027458064,-93.96112423906919,
94467,85692,1555820,735350,N,1,3,2152,K029,,17017253280000,183611,CADDO PARISH POLICE JURY,002,23.0,,,0.0,,888.0,794,799,183611,32.6802030390311,-93.94371465429991,
104911,85722,1565490,799800,N,1,3,2152,2417,,17017253330000,183670,J SU49;BARR-BOOTH,001,33.0,,,0.0,,,0,0,183670,32.8576684878876,-93.915024972183,
126223,85729,1532500,796500,N,1,3,2152,B138,,17017253390000,183681,HORN,002,23.0,,,0.0,,2574.0,2406,2407,183681,32.8473712815666,-94.02228333457892,
126240,85730,1532280,795980,N,1,3,2152,B138,,17017253400000,183682,DOROTHY COLVIN JORDAN ET AL,002,23.0,,,0.0,,2956.0,2389,2390,183682,32.8459338349292,-94.0229757576662,
126241,85730,1532280,795980,N,1,3,2152,B138,,17017253400000,183682,DOROTHY COLVIN JORDAN ET AL,002,23.0,,,0.0,,2956.0,2389,2390,183682,32.8459338349292,-94.0229757576662,
55525,85739,2052720,419500,N,1,3,9031,M7343,,17059224700000,183703,MOPAC SSS,008,33.0,,,0.0,,1580.0,1538,1541,183703,31.8200043408422,-92.3304102436724,
121012,85760,1544990,799990,N,1,3,2152,0367,,17017253430000,183730,HERNDON,001,28.0,,,0.0,,1150.0,1094,1098,183730,32.8574375813358,-93.98177771283991,
121084,85761,1544900,800120,N,1,3,2152,0367,,17017253440000,183731,HERNDON,002,28.0,,,0.0,,,1010,1106,183731,32.8577914362942,-93.9820765221725,
70001,85765,1675500,836480,N,1,3,2336,3091,,17015218850000,183737,WILLARD FARRINGTON ET AL,003,23.0,,,1000.0,,3500.0,0,0,183737,32.9619149977183,-93.55800042863159,
120413,85769,1546120,800420,N,1,3,2152,9999,,17017253490000,183741,R L CARROLL,003,28.0,,,0.0,,,0,0,183741,32.8586616250297,-93.9781177338637,
120583,85772,1546390,801820,N,1,3,2152,3478,,17017253520000,183744,K D CLAY SWD,001,28.0,,,305.0,,1185.0,1165,1185,183744,32.8625189129077,-93.9773007675902,
120584,85772,1546390,801820,N,1,3,2152,3478,,17017253520000,183744,K D CLAY SWD,001,28.0,,,305.0,,1185.0,1165,1185,183744,32.8625189129077,-93.9773007675902,
58049,85781,1713080,831400,N,1,3,7922,1822,,17119204020000,183768,WILLIE SLACK,002,23.0,,,0.0,,2775.0,2698,2700,183768,32.9489054679517,-93.4353567541212,
42662,85783,2036810,440690,N,1,3,3080,T040,,17127212930000,183770,TREMONT TB 2 LEX,009,33.0,,,1200.0,,1508.0,1447,1451,183770,31.878314928896604,-92.38156064343441,
18794,85797,2053283,789824,N,1,5,6824,L096,,17111239290000,183794,B J HAYES,001,23.0,,,1450.0,,2267.0,2055,2058,183794,32.8379258584963,-92.3266907543666,
18795,85798,2053872,789247,N,1,5,6824,L096,,17111239300000,183795,B F HAYES JR,001,23.0,,,0.0,,2273.0,2061,2066,183795,32.836337461914304,-92.3247763061343,
110079,85824,1558610,799550,N,1,3,2152,5536,,17017253660000,183850,GAULT,003,33.0,,,0.0,,1812.0,1537,1578,183850,32.856732634878696,-93.937414336218,
110080,85824,1558610,799550,N,1,3,2152,5536,,17017253660000,183850,GAULT,003,33.0,,,0.0,,1812.0,1537,1578,183850,32.856732634878696,-93.937414336218,
110081,85824,1558610,799550,N,1,3,2152,5536,,17017253660000,183850,GAULT,003,33.0,,,0.0,,1812.0,1537,1578,183850,32.856732634878696,-93.937414336218,
109757,85825,1558950,799500,N,1,3,2152,5536,,17017253670000,183851,GAULT,004,33.0,,,0.0,,1900.0,1522,1561,183851,32.8566076246969,-93.9363052063302,
109758,85825,1558950,799500,N,1,3,2152,5536,,17017253670000,183851,GAULT,004,33.0,,,0.0,,1900.0,1522,1561,183851,32.8566076246969,-93.9363052063302,
109759,85825,1558950,799500,N,1,3,2152,5536,,17017253670000,183851,GAULT,004,33.0,,,0.0,,1900.0,1522,1561,183851,32.8566076246969,-93.9363052063302,
110326,85826,1558310,799520,N,1,3,2152,5536,,17017253680000,183852,GAULT,005,33.0,,,0.0,,,1580,1601,183852,32.8566392549552,-93.9383897811894,
110327,85826,1558310,799520,N,1,3,2152,5536,,17017253680000,183852,GAULT,005,33.0,,,0.0,,,1580,1601,183852,32.8566392549552,-93.9383897811894,
110538,85827,1558100,799600,N,1,3,2152,5536,,17017253690000,183853,GAULT,006,33.0,,,0.0,,,1546,1547,183853,32.8568514322602,-93.93907695633172,
110539,85827,1558100,799600,N,1,3,2152,5536,,17017253690000,183853,GAULT,006,33.0,,,0.0,,,1546,1547,183853,32.8568514322602,-93.93907695633172,
110540,85827,1558100,799600,N,1,3,2152,5536,,17017253690000,183853,GAULT,006,33.0,,,0.0,,,1546,1547,183853,32.8568514322602,-93.93907695633172,
110702,85829,1558090,800090,N,1,3,2152,5536,,17017253710000,183855,GAULT,007,33.0,,,0.0,,1900.0,1566,1575,183855,32.858197585155104,-93.9391306912588,
110703,85829,1558090,800090,N,1,3,2152,5536,,17017253710000,183855,GAULT,007,33.0,,,0.0,,1900.0,1566,1575,183855,32.858197585155104,-93.9391306912588,
110704,85829,1558090,800090,N,1,3,2152,5536,,17017253710000,183855,GAULT,007,33.0,,,0.0,,1900.0,1566,1575,183855,32.858197585155104,-93.9391306912588,
118564,85836,1540880,779250,N,1,3,2152,0104,,17017253740000,183862,CADDO LEVEE BOARD G,049,33.0,,,0.0,,1139.0,1014,1016,183862,32.800288692487,-93.99422833238319,
97804,85839,1578350,810290,N,1,3,2152,0116,,17017253760000,183865,SNYDER,002,28.0,,,0.0,,,1073,1076,183865,32.8869496795372,-93.8735872617429,
99068,85841,1577250,810620,N,1,3,2152,G125,,17017253780000,183867,JOLLEY,001,33.0,,,0.0,,1059.0,1042,1045,183867,32.8878181433725,-93.8771835079808,
110913,85847,1528920,657580,N,1,3,4313,2706,,17017253840000,183873,CARROLL-HUGHES,004,23.0,,,0.0,,2385.0,2320,2326,183873,32.4654555744401,-94.0275664923414,
55899,85854,2057320,421480,N,1,1,9031,M7343,,17059224790000,183884,TREMONT B,016,33.0,,,0.0,,1617.0,1546,1547,183884,31.825426806162895,-92.315589148137,
55900,85854,2057320,421480,N,1,1,9031,M7343,,17059224790000,183884,TREMONT B,016,33.0,,,0.0,,1617.0,1546,1547,183884,31.825426806162895,-92.315589148137,
55817,85855,2057280,421620,N,1,3,9031,M7343,,17059224790000,183885,TREMONT B,017,33.0,,,0.0,,1600.0,1536,1538,183885,31.8258118612448,-92.3157171782295,
107304,85858,1605800,426720,N,1,3,2872,P109,,17085211570000,183890,GR RA SUP;PATRICK,001,20.0,,,0.0,,3700.0,3600,3604,183890,31.8336211954804,-93.7695576765831,
56743,85879,1717220,832990,N,1,3,7922,0925,,17119205120000,183925,NICKERSON,003,33.0,,,0.0,,3250.0,2687,2688,183925,32.9533723978086,-93.4219073553207,
83877,85882,2276810,641120,N,1,3,3294,D188,,17083207170000,183928,DELHI HOLT BRYANT SU;DELHI UT,169-4,18.0,,,1800.0,,3234.0,3144,3150,183928,32.426176332783,-91.6030336712795,
123724,85890,1527580,540380,N,1,3,1464,F3380,,17031220580000,183942,HOSS RA SU7;STEWART,001,33.0,,,0.0,,8000.0,6948,6953,183942,32.1432760899233,-94.0265621802656,
123725,85890,1527580,540380,N,1,3,1464,F3380,,17031220580000,183942,HOSS RA SU7;STEWART,001,33.0,,,0.0,,8000.0,6948,6953,183942,32.1432760899233,-94.0265621802656,
120022,85907,1547750,802990,N,1,3,2152,9999,,17017253910000,183970,HAMMOCK,001,28.0,,,0.0,,1200.0,0,0,183970,32.8657849211656,-93.97292437243959,
119974,85908,1547780,802850,N,1,3,2152,9999,,17017253920000,183971,HAMMOCK,002,28.0,,,0.0,,,0,0,183971,32.865401325457604,-93.97282049600192,
125138,85911,1542720,814800,N,1,3,2152,1954,,17017253950000,183974,CPI ATL RA SU;AGURS,001,33.0,,,0.0,,5840.0,5632,5729,183974,32.898049240495894,-93.9898310570016,
116244,85915,1552100,801300,N,1,3,2152,2317,,17017253990000,183978,RIEVES-JONES,006,33.0,,,0.0,,1104.0,1071,1073,183978,32.8613025450828,-93.9586862209956,
118395,85950,1550050,803250,N,1,3,2152,2417,,17017254140000,184046,TYSON,004,33.0,,,0.0,,1135.0,1102,1110,184046,32.8665850923879,-93.96544675232141,
121374,85962,1544300,800120,N,1,3,2152,0367,,17017254160000,184064,WILBERT,001,28.0,,,0.0,,1136.0,1096,1099,184064,32.8577688693411,-93.9840300154053,
115144,85967,1557410,494450,N,1,3,4160,A1760,,17031220650000,184074,HOSS RA SUD;M L BAZER,001,33.0,,,0.0,,6800.0,6532,6536,184074,32.0181449194846,-93.9282383666791,
115145,85967,1557410,494450,N,1,3,4160,A1760,,17031220650000,184074,HOSS RA SUD;M L BAZER,001,33.0,,,0.0,,6800.0,6532,6536,184074,32.0181449194846,-93.9282383666791,
115146,85967,1557410,494450,N,1,3,4160,A1760,,17031220650000,184074,HOSS RA SUD;M L BAZER,001,33.0,,,0.0,,6800.0,6532,6536,184074,32.0181449194846,-93.9282383666791,
58143,85968,1709380,477800,N,1,3,7651,2061,,17031220660000,184075,BROWN HEIRS,002,33.0,,,0.0,,2990.0,972,976,184075,31.976931695536898,-93.43745116761231,
58144,85968,1709380,477800,N,1,3,7651,2061,,17031220660000,184075,BROWN HEIRS,002,33.0,,,0.0,,2990.0,972,976,184075,31.976931695536898,-93.43745116761231,
58145,85968,1709380,477800,N,1,3,7651,2061,,17031220660000,184075,BROWN HEIRS,002,33.0,,,0.0,,2990.0,972,976,184075,31.976931695536898,-93.43745116761231,
116080,85977,1553020,803020,N,1,3,2152,C348,,17017254220000,184100,HOUSTON,001,33.0,,,0.0,,1110.0,1076,1081,184100,32.866063073645805,-93.9557659387961,
126226,85993,1534690,802260,N,1,3,2152,3578,,17017254340000,184127,DEBORAH LYNNE,001,33.0,,,0.0,,2900.0,2480,2484,184127,32.863283966395,-94.0154159551634,
